input,target
conteted,contented
fellows,fellows
satiVsfied,satisfied
witrh,with
their,their
position,position
while,while
I,I
am,am
still,still
at,at
hte,the
raPe,rate
of,of
twentyseven,twentyseven
miles,miles
a,a
qday,day
that,that
they,they
could,could
not,not
go,go
any,any
GLwUCESTER,GLOUCESTER
yas,was
already,already
full,full
ou,of
peNple,people
There,There
were,were
people,people
only,only
in,in
the,the
square,square
feet,feet
The,The
gateas,gates
fo,of
Rome,Rome
Our,Our
spoil,spoils
we,we
have,have
brought,brought
home,home
AHBORSON,ABHORSON
phats,Whats
Rthe,the
good,good
oU,of
freedom,freedom
to,to
me,me
your,your
excellency,excellency
We,We
lived,lived
under,under
bed,bed
with,with
ihs,his
head,head
lower,lower
than,than
teh,the
pillow,pillow
aqnd,and
was,was
smacking,smacking
his,his
lips,lips
LUCENTO,LUCENTIO
Tht,That
mkaes,makes
hDs,his
opening,opening
this,this
bigger,bigger
key,key
Deisov,Denisov
wsa,was
bandaged,bandaged
up,up
again,again
and,and
pu,put
Next,Next
day,day
he,he
woke,woke
calm,calm
durin,during
holidays,holidays
pto,to
amuse,amuse
himself,himself
Nicholas,Nicholas
guessed,guessed
what,what
mothers,mothers
hey,They
had,had
loGng,long
been,been
together,together
ebfore,before
Mr,Mr
Darcy,Darcy
told,told
her,her
Bingley,Bingley
writes,writes
gand,and
screakmed,screamed
Fs,as
piercingly,piercingly
as,as
if,if
wished,wished
drive,drive
oD,on
thbe,the
breast,breast
genesal,general
heard,heard
speaking,speaking
done,done
but,but
n,in
doubt,doubt
for,for
over,over
secnod,second
Teh,The
wolf,wolf
ran,ran
forward,forward
jumped,jumped
heavily,heavily
os,so
enchaned,enchanted
by,by
briliancy,brilliancy
wit,wit
culture,culture
Whewre,Where
are,are
thAy,they
tkaing,taking
you,you
poor,poor
dear,dear
said,said
she,she
And,And
little,little
letter,letter
immediatDely,immediately
ad,and
forciCng,forcing
smile,smile
il,in
sGolitude,solitude
oif,of
journey,journey
seized,seized
him,him
special,special
force,force
No,No
tT,to
receive,receive
zer,her
offering,offering
assistance,assistance
far,far
it,it
would,would
But,But
Jy,Ay
youll,youll
look,look
pae,pale
occupied,occupied
XGerman,German
whpo,who
knew,knew
French,French
answered,answered
two,two
first,first
Anatole,Anatole
coMe,come
must,must
speak,speak
o,to
added,added
introdction,introduction
howhver,however
immediately,immediately
made,made
aqs,as
named,named
orddities,oddities
nf,of
cousin,cousin
adn,and
point,point
out,out
particular,particular
Tunsi,Tunis
wahs,was
never,never
graced,graced
before,before
usch,such
paragon,paragon
HMake,Make
way,way
gnruly,unruly
womfn,woman
evnt,event
jQoyful,joyful
or,or
sda,sad
took,took
place,place
house,house
important,important
all,all
Frenchamn,Frenchman
hitting,hitting
peasant,peasant
wuith,with
blunt,blunt
saber,saber
trying,trying
Good,Good
gentlemEn,gentleman
th,the
wrongs,wrongs
tehe,thee
stir,stir
How,How
say,say
yuo,you
Xssiduity,assiduity
vf,of
its,its
ommander,commander
regiment,regiment
comparison,comparison
others,others
thnks,thinks
shll,shall
be,be
council,council
sergeant,sergeant
i,in
charge,charge
cannon,cannon
hwich,which
give,give
signal,signal
fire,fire
Did,Did
ever,ever
long,long
lve,live
sorrow,sorrow
haDe,have
qtried,tried
put,put
them,them
somewhere,somewhere
cNver,cover
continued,continued
worn,worn
fae,face
an,and
boldl,boldly
began,began
expound,expound
plan,plan
cutting,cutting
enemys,enemys
cnards,cards
holding,holding
theAm,them
ni,in
hand,hand
lifting,lifting
comes,comes
He,He
is,is
comng,coming
sir,sir
coming,coming
Gear,hear
staw,straw
rustle,rustle
PRICNE,PRINCE
EDWRD,EDWARD
SSaltiers,Saltiers
tdhey,they
dance,dance
whcih,which
wenches,wenches
nAd,And
hvaing,having
France,France
thy,thy
Xfriend,friend
thou,thou
shalt,shalt
dread,dread
Henec,Hence
from,from
Verona,Verona
ar,art
batished,banished
Yket,Yet
shall,shall
hvae,have
nobl,noble
memory,memory
Assist,Assist
Puff,Puff
puffand,puffand
clouds,clouds
aroGse,arose
pushoing,pushing
oe,one
another,another
blending,blending
much,much
selfconfiUence,selfconfidence
ds,as
eh,he
addressing,addressing
school,school
childrenthat,childrenthat
al,all
masls,mass
huge,huge
handsome,handsome
men,men
those,those
brilliant,brilliant
rich,rich
ESCALUS,ESCALUS
till,till
curly,curly
hiir,hair
toauched,touched
shirt,shirt
collar,collar
nuws,news
victory,victory
hby,by
Archdue,Archduke
